wp1,wp2,wp3,wp4,wp5,wp6,wp7
0.005,0.291,0.336,0.033,0.03,0.053,0
0,0.196,0.395,0.083,0.005,0.092,0.051
0.03,0.148,0.237,0,0.005,0.053,0.025
0.02,0.143,0.069,0.011,0,0,0
0.075,0.09,0,0.05,0,0,0
0.105,0.074,0.02,0.176,0,0.013,0
0.16,0.116,0.158,0.253,0,0.145,0.051
0.18,0.153,0.099,0.226,0,0.092,0.101
0.231,0.169,0.089,0.275,0,0.145,0.278
0.306,0.201,0.099,0.259,0.04,0.092,0.101
0.286,0.169,0.198,0.287,0.04,0.092,0.152
0.246,0.228,0.346,0.325,0.03,0.105,0.202
0.306,0.286,0.296,0.424,0,0.145,0.227
0.306,0.148,0.356,0.446,0.005,0.25,0.227
0.306,0.143,0.326,0.446,0.091,0.158,0.227
0.316,0.153,0.425,0.413,0.308,0.184,0.253
0.381,0.196,0.543,0.275,0.329,0.263,0.152
0.411,0.243,0.504,0.364,0.071,0.158,0.076
0.426,0.317,0.306,0.314,0.061,0.118,0.051
0.391,0.344,0.208,0.176,0.091,0.105,0.051
0.346,0.286,0.188,0.132,0.147,0.053,0.051
0.316,0.254,0.089,0.171,0.096,0.039,0
0.271,0.19,0.04,0.375,0.116,0.026,0
0.276,0.143,0.03,0.391,0.116,0.013,0
0.226,0.159,0.01,0.551,0.076,0.039,0
0.276,0.138,0,0.749,0.061,0.066,0.025
0.216,0.069,0,0.452,0.086,0.118,0.152
0.145,0.063,0,0.171,0.066,0.355,0.177
0.1,0.058,0.04,0.033,0.061,0.224,0.253
0.07,0.063,0.079,0.006,0.04,0.079,0.152
0.06,0.101,0.049,0,0.051,0.026,0.025
0.06,0.053,0.04,0,0.035,0,0
0.045,0.042,0.089,0,0.025,0,0
0.045,0.048,0.079,0,0.01,0,0
0.085,0.042,0.01,0,0,0,0
0.085,0.026,0,0,0,0,0
0.08,0.011,0,0,0,0.013,0
0.095,0.005,0,0,0,0,0
0.05,0.021,0,0,0.02,0.013,0
0.035,0.042,0.02,0,0.015,0.053,0.025
0.055,0.037,0.04,0,0.025,0.053,0.025
0.04,0.032,0.059,0.039,0.025,0.066,0.051
0.035,0.005,0.03,0.033,0.01,0.066,0.025
0.02,0.069,0.02,0.006,0,0.079,0.025
0.025,0.101,0.02,0,0,0.053,0.025
0.06,0.116,0,0.006,0,0.039,0
0.03,0.101,0,0,0,0.053,0.025
0.045,0.042,0,0,0,0.066,0.025
0.065,0.005,0,0.033,0,0.053,0.025
0.075,0,0,0.017,0.005,0.039,0.025
0.135,0,0,0,0.035,0.066,0.076
0.185,0,0,0,0.04,0.053,0.177
0.075,0,0,0,0.01,0.079,0.227
0.005,0,0,0,0,0.118,0.202
0,0,0.01,0,0,0.105,0.177
0,0,0.01,0.006,0,0.105,0.303
0.03,0,0.01,0,0.02,0.132,0.253
0.03,0.005,0.01,0.011,0.01,0.092,0.126
0,0,0,0.006,0.02,0.013,0.025
0,0,0.01,0,0.046,0,0
0,0.011,0.02,0,0.071,0,0
0,0.011,0.04,0,0.086,0,0
0,0.005,0.079,0.006,0.071,0.013,0
0.015,0.037,0.119,0.044,0.071,0.053,0
0.005,0.106,0.148,0.061,0.071,0.066,0
0.025,0.185,0.168,0.011,0.056,0.039,0
0.095,0.302,0.188,0.011,0.035,0.026,0
0.085,0.429,0.188,0,0.015,0.026,0
0.13,0.46,0.168,0,0.005,0.026,0
0.12,0.413,0.158,0,0,0.013,0
0.095,0.487,0.188,0,0,0,0
0.095,0.492,0.227,0,0,0.013,0
0.1,0.545,0.188,0.055,0,0.092,0.177
0.16,0.577,0.128,0.325,0,0.25,0.328
0.19,0.577,0.119,0.347,0,0.355,0.328
0.165,0.571,0.128,0.419,0,0.329,0.328
0.105,0.556,0.138,0.375,0,0.355,0.429
0.09,0.534,0.128,0.457,0,0.382,0.379
0.1,0.656,0.079,0.43,0,0.276,0.328
0.095,0.683,0.119,0.331,0,0.25,0.303
0.11,0.608,0.099,0.347,0,0.224,0.328
0.11,0.455,0.04,0.231,0.005,0.105,0.152
0.005,0.471,0.01,0.033,0.03,0.039,0.051
0,0.651,0.04,0.006,0.056,0.039,0
0.04,0.571,0.04,0.033,0.051,0.092,0.025
0.165,0.429,0.03,0.116,0.02,0.132,0.101
0.266,0.46,0.04,0.231,0.025,0.145,0.152
0.326,0.529,0.04,0.38,0.046,0.289,0.253
0.351,0.397,0.03,0.452,0.061,0.487,0.328
0.361,0.476,0.03,0.523,0.056,0.382,0.278
0.311,0.265,0.01,0.617,0.066,0.289,0.202
0.306,0.164,0.02,0.595,0.025,0.289,0.202
0.291,0.138,0.049,0.468,0,0.303,0.177
0.281,0.063,0.128,0.408,0.005,0.263,0.152
0.236,0.048,0.217,0.358,0.066,0.263,0.227
0.366,0.063,0.247,0.441,0.228,0.342,0.354
0.381,0.053,0.257,0.507,0.374,0.421,0.379
0.421,0.079,0.366,0.584,0.475,0.447,0.429
0.481,0.069,0.464,0.623,0.536,0.5,0.48
0.451,0.063,0.791,0.705,0.465,0.513,0.581
0.466,0.037,0.711,0.744,0.354,0.513,0.556
0.476,0.09,0.484,0.716,0.308,0.566,0.606
0.501,0.275,0.415,0.556,0.334,0.395,0.379
0.421,0.36,0.346,0.325,0.339,0.25,0.177
0.251,0.185,0.395,0.176,0.329,0.197,0.177
0.19,0.116,0.395,0.006,0.374,0.026,0.152
0.226,0.069,0.178,0.017,0.465,0.066,0.025
0.18,0.09,0.099,0.039,0.485,0.092,0.101
0.065,0.212,0,0.143,0.531,0.118,0.051
0.115,0.254,0.089,0.347,0.455,0.145,0.101
0.306,0.45,0.543,0.479,0.46,0.25,0.152
0.471,0.55,0.455,0.364,0.394,0.224,0.051
0.596,0.608,0.613,0.198,0.44,0.158,0.025
0.657,0.688,0.346,0.149,0.319,0.118,0.051
0.586,0.72,0.464,0.314,0.384,0.197,0.025
0.576,0.746,0.494,0.584,0.349,0.618,0.455
0.627,0.714,0.514,0.672,0.253,0.737,0.758
0.546,0.741,0.445,0.496,0.182,0.592,0.606
0.521,0.735,0.445,0.556,0.076,0.342,0.429
0.351,0.63,0.583,0.854,0.076,0.368,0.227
0.536,0.54,0.623,0.887,0.116,0.434,0.227
0.617,0.418,0.553,0.733,0.228,0.408,0.126
0.566,0.307,0.168,0.601,0.157,0.382,0.126
0.411,0.148,0.059,0.551,0.126,0.263,0.076
0.291,0.063,0.03,0.231,0.106,0.224,0
0.291,0.058,0,0.072,0.121,0.105,0
0.391,0.069,0.049,0.017,0.137,0,0
0.446,0.053,0.099,0.039,0.076,0,0
0.496,0.037,0.049,0.088,0.046,0.066,0.025
0.276,0.026,0.02,0.22,0.025,0.105,0.051
0.075,0.005,0,0.209,0.04,0.145,0.076
0.18,0,0,0.281,0.025,0.211,0.202
0.211,0.005,0.01,0.331,0.005,0.329,0.328
0.296,0.005,0.02,0.402,0.056,0.316,0.278
0.291,0.005,0.02,0.358,0.142,0.263,0.177
0.296,0.053,0.059,0.364,0.263,0.197,0.126
0.376,0.069,0.069,0.309,0.349,0.092,0.025
0.401,0.122,0.04,0.143,0.465,0.053,0
0.371,0.153,0.04,0.055,0.501,0.039,0
0.286,0.291,0.01,0.044,0.475,0.026,0
0.175,0.349,0.128,0.083,0.46,0.026,0
0.105,0.344,0.198,0.011,0.389,0.079,0
0.07,0.344,0.198,0.011,0.222,0.066,0.076
0.135,0.349,0.198,0.017,0.248,0.066,0.126
0.165,0.296,0.119,0.05,0.228,0.039,0.076
0.236,0.132,0.119,0.072,0.142,0.053,0.051
0.306,0.175,0.435,0.088,0.121,0.053,0.051
0.336,0.116,0.484,0.099,0.116,0.053,0
0.296,0.116,0.287,0.055,0.066,0.039,0
0.236,0.069,0.198,0.05,0.056,0.026,0
0.201,0.069,0.148,0.105,0.081,0.053,0
0.291,0.058,0.069,0.16,0.131,0.105,0.025
0.321,0.063,0.059,0.242,0.152,0.158,0.051
0.291,0.074,0.01,0.309,0.258,0.211,0.101
0.326,0.111,0,0.402,0.283,0.303,0.202
0.486,0.116,0,0.309,0.217,0.434,0.303
0.451,0.058,0,0.298,0.212,0.329,0.404
0.576,0.058,0.02,0.275,0.177,0.342,0.379
0.667,0.143,0.079,0.237,0.167,0.197,0.253
0.712,0.577,0.128,0.226,0.187,0.171,0.152
0.787,0.725,0.208,0.198,0.308,0.105,0.126
0.827,0.815,0.227,0.099,0.177,0.039,0
0.847,0.772,0.148,0.061,0.101,0.026,0
0.672,0.561,0.138,0.044,0.243,0.013,0
0.511,0.249,0.109,0.044,0.501,0.066,0
0.331,0.111,0.04,0,0.42,0.053,0
0.18,0.085,0.03,0.132,0.298,0,0
0.221,0.048,0.079,0.298,0.404,0.026,0
0.281,0.063,0.109,0.16,0.182,0.039,0.126
0.371,0.058,0.198,0.226,0.051,0.092,0.051
0.476,0.106,0.504,0.226,0.015,0.132,0.101
0.416,0.106,0.573,0.182,0.005,0.158,0.051
0.401,0.079,0.366,0.083,0.02,0.145,0.076
0.286,0.058,0.227,0.039,0.081,0.211,0.328
0.221,0.021,0.109,0.011,0.222,0.158,0.227
0.19,0.026,0.128,0,0.217,0.066,0.101
0.316,0.032,0.227,0,0.152,0,0.025
0.211,0.021,0.079,0,0.111,0,0
0.17,0,0.04,0,0.061,0,0
0.185,0,0,0,0.101,0,0
0.18,0,0,0,0.081,0,0
0.175,0,0.01,0,0.04,0.026,0
0.211,0,0.01,0.061,0.061,0.053,0.025
0.276,0,0.049,0.055,0.182,0.026,0
0.246,0.016,0.099,0.099,0.162,0.079,0
0.231,0.005,0.128,0.138,0.076,0.079,0
0.236,0.016,0.208,0.138,0.02,0.066,0
0.231,0.011,0.119,0.028,0.025,0.013,0
0.211,0,0.138,0,0.106,0,0
0.145,0,0.099,0,0.394,0,0
0.075,0,0.059,0,0.43,0,0
0.065,0,0.049,0,0.399,0,0
0.04,0.021,0.04,0,0.495,0.026,0
0.05,0.063,0.049,0,0.329,0.053,0
0.065,0.074,0.059,0.011,0.228,0.066,0.051
0.08,0.228,0.109,0.066,0.152,0.105,0.227
0.04,0.413,0.089,0.116,0.096,0.184,0.177
0.06,0.46,0.069,0.364,0.056,0.184,0.177
0.135,0.614,0.099,0.253,0.01,0.158,0.177
0.115,0.619,0.138,0.193,0,0.158,0.227
0.12,0.508,0.217,0.242,0,0.224,0.303
0.1,0.857,0.158,0.303,0,0.263,0.328
0.09,0.831,0.119,0.253,0,0.211,0.202
0.04,0.926,0.128,0.303,0.005,0.237,0.227
0.135,0.868,0.109,0.342,0.035,0.303,0.278
0.216,0.81,0.109,0.413,0.03,0.276,0.227
0.226,0.651,0.109,0.375,0.076,0.276,0.278
0.211,0.508,0.089,0.292,0.096,0.342,0.278
0.201,0.291,0.316,0.463,0.061,0.474,0.404
0.306,0.138,0.415,0.369,0.046,0.316,0.328
0.271,0.048,0.474,0.38,0.035,0.434,0.404
0.316,0.079,0.455,0.529,0.005,0.579,0.53
0.371,0.101,0.543,0.744,0,0.474,0.48
0.331,0.111,0.672,0.645,0,0.513,0.379
0.366,0.058,0.81,0.595,0,0.303,0.328
0.366,0.175,0.711,0.551,0,0.263,0.328
0.366,0.376,0.603,0.534,0.005,0.395,0.303
0.406,0.434,0.543,0.402,0.005,0.342,0.278
0.356,0.402,0.583,0.264,0.02,0.197,0.177
0.281,0.407,0.543,0.237,0.066,0.224,0.227
0.326,0.317,0.514,0.496,0.071,0.566,0.606
0.471,0.243,0.613,0.463,0.116,0.513,0.505
0.431,0.138,0.711,0.303,0.051,0.197,0.227
0.165,0.085,0.375,0.226,0.061,0.118,0.076
0.256,0.042,0.484,0.072,0.364,0.066,0
0.261,0.063,0.375,0.028,0.404,0.053,0
0.17,0.053,0.148,0.033,0.344,0.026,0
0.115,0.053,0.109,0.033,0.222,0.013,0
0.145,0.011,0.119,0,0.177,0.013,0
0.145,0.074,0.158,0,0.278,0,0
0.165,0.122,0.425,0,0.339,0,0
0.201,0.143,0.593,0,0.359,0.026,0
0.261,0.127,0.563,0.044,0.435,0.079,0.101
0.206,0.143,0.563,0.331,0.445,0.25,0.253
0.251,0.206,0.652,0.408,0.445,0.158,0.126
0.256,0.153,0.563,0.303,0.521,0.105,0.076
0.391,0.053,0.603,0.231,0.475,0.066,0.051
0.241,0.085,0.692,0.298,0.233,0.132,0.051
0.15,0.159,0.573,0.143,0.081,0.171,0.051
0.135,0.058,0.435,0.127,0.04,0.105,0.076
0.145,0.016,0.326,0.088,0.02,0.066,0.076
0.206,0.016,0.099,0,0.005,0.026,0.051
0.135,0.005,0.099,0,0,0.013,0
0.02,0.026,0.089,0,0.066,0.053,0
0,0.042,0.267,0.05,0.197,0.066,0
0,0.063,0.01,0.099,0.121,0.092,0.101
0,0.016,0,0.198,0.111,0.145,0.152
0,0,0.208,0.358,0.106,0.184,0.253
0.03,0,0.257,0.419,0.025,0.263,0.177
0.02,0,0.089,0.325,0.015,0.105,0.101
0.035,0,0.069,0.105,0.046,0.079,0.076
0.065,0,0.03,0.028,0.071,0.079,0.025
0.045,0,0.02,0.05,0.101,0.092,0.025
0.06,0,0.02,0.088,0.091,0.066,0.025
0.08,0.026,0.03,0.039,0.086,0.053,0.051
0.15,0.074,0.03,0.099,0.081,0.105,0.152
0.13,0.079,0.049,0.204,0.354,0.211,0.303
0.04,0.079,0.099,0.231,0.091,0.224,0.202
0.025,0.09,0.257,0.165,0,0.145,0.126
0.015,0.127,0.316,0.083,0.01,0.092,0.076
0.01,0.18,0.237,0.039,0.046,0.079,0.025
0.005,0.159,0.198,0.022,0.071,0.053,0.025
0.03,0.169,0.415,0.006,0.066,0.039,0.025
0.095,0.18,0.385,0.006,0.051,0.053,0
0.08,0.101,0.148,0,0.061,0.013,0.051
0.175,0.069,0.079,0,0.02,0,0
0.18,0.058,0.079,0,0.005,0.013,0
0.1,0.09,0.138,0.011,0,0.053,0
0.07,0.058,0.296,0.028,0,0.066,0
0.075,0.037,0.346,0.044,0,0.039,0
0.1,0.048,0.277,0.022,0,0.053,0
0.055,0.026,0.247,0.039,0,0.053,0
0.1,0.026,0.257,0.055,0.061,0.053,0.025
0.075,0.026,0.198,0.061,0.076,0.066,0.051
0.09,0.085,0.148,0.055,0.076,0.079,0.126
0.11,0.106,0.217,0.072,0.116,0.079,0.126
0.175,0.079,0.198,0.105,0.207,0.079,0.126
0.185,0.063,0.257,0.083,0.374,0.105,0.126
0.256,0.09,0.237,0.11,0.556,0.079,0.126
0.236,0.222,0.237,0.11,0.683,0.079,0.076
0.296,0.296,0.208,0.066,0.622,0.053,0
0.331,0.386,0.168,0.066,0.566,0.039,0
0.451,0.471,0.287,0.143,0.475,0.053,0.025
0.381,0.455,0.168,0.149,0.415,0.053,0
0.386,0.413,0.257,0.105,0.526,0.039,0
0.331,0.317,0.208,0.072,0.475,0.039,0
0.261,0.18,0.198,0.011,0.475,0.026,0
0.17,0.138,0.148,0.006,0.576,0.039,0
0.195,0.18,0.306,0.028,0.485,0.013,0.025
0.206,0.175,0.109,0.154,0.308,0.105,0.202
0.206,0.143,0.158,0.281,0.202,0.263,0.278
0.246,0.143,0.168,0.331,0.182,0.132,0.328
0.291,0.101,0.099,0.215,0.182,0.132,0.177
0.311,0.106,0.079,0.22,0.162,0.25,0.227
0.256,0.111,0.089,0.237,0.116,0.158,0.202
0.276,0.085,0.128,0.242,0.167,0.171,0.126
0.316,0.048,0.069,0.11,0.162,0.158,0.177
0.316,0.016,0.04,0.083,0.298,0.118,0.126
0.226,0,0.01,0.061,0.319,0.079,0.076
0.211,0,0.03,0.088,0.303,0.079,0.051
0.271,0,0.079,0.055,0.369,0.053,0.051
0.226,0,0.099,0.055,0.369,0.066,0
0.125,0.011,0.079,0.083,0.43,0.079,0.025
0.095,0.042,0.059,0.083,0.44,0.079,0
0.05,0.069,0.079,0.061,0.597,0.066,0.025
0.105,0.079,0.079,0.022,0.359,0.053,0
0.095,0.063,0.158,0.006,0.228,0.026,0
0.055,0.063,0.148,0,0.283,0.013,0
0.01,0.021,0.119,0,0.243,0,0
0.005,0.005,0.109,0,0.162,0,0
0.03,0.016,0.079,0,0.152,0,0
0.055,0.048,0.069,0,0.162,0,0
0.05,0.058,0.04,0,0.101,0,0
0.005,0.048,0.01,0,0.066,0,0
0,0.016,0,0,0.051,0,0
0,0,0,0,0.046,0.026,0
0,0,0,0.011,0.025,0,0
0.015,0,0.01,0,0.051,0,0
0.005,0,0,0,0.035,0.013,0.025
0,0,0,0,0.035,0.053,0.101
0,0,0.01,0.011,0.04,0.039,0.051
0,0,0.01,0.017,0.025,0.013,0
0,0,0,0,0,0,0
0,0,0.01,0,0.01,0,0
0,0,0.04,0,0.046,0.013,0
0,0,0.04,0,0.056,0,0
0,0,0.04,0,0.056,0.026,0
0,0,0.04,0,0.046,0.039,0
0.015,0,0.069,0.006,0.046,0.026,0
0.01,0,0.04,0.006,0.03,0.026,0
0.015,0.011,0.089,0,0.02,0.026,0
0,0.026,0.099,0,0,0.026,0
0,0.042,0.158,0,0,0,0
0.04,0.106,0.168,0,0,0,0
0.035,0.153,0.198,0,0,0,0
0.02,0.28,0.148,0,0,0.013,0
0.03,0.296,0.148,0,0,0.039,0
0.03,0.45,0.168,0.022,0,0.039,0.025
0.01,0.503,0.119,0.083,0,0.105,0.076
0.03,0.64,0.128,0.066,0,0.105,0.076
0.055,0.698,0.158,0.05,0,0.105,0.227
0.03,0.698,0.198,0.154,0,0.197,0.354
0.05,0.624,0.168,0.138,0.015,0.224,0.328
0.08,0.524,0.119,0.193,0.035,0.237,0.354
0.18,0.534,0.079,0.215,0.056,0.184,0.455
0.115,0.471,0.059,0.287,0.076,0.184,0.404
0.06,0.302,0.079,0.061,0.076,0.079,0.202
0.045,0.185,0.109,0.017,0.066,0.066,0.076
0.12,0.122,0.069,0.011,0.076,0.026,0.025
0.085,0.164,0.079,0.006,0.086,0.039,0.051
0.06,0.159,0.099,0.028,0.071,0.066,0.051
0.025,0.132,0.198,0.094,0.051,0.145,0.101
0.01,0.18,0.385,0.287,0.035,0.066,0
0.065,0.323,0.445,0.055,0.061,0,0
0.14,0.423,0.494,0.055,0.056,0.026,0.126
0.1,0.434,0.405,0.248,0.046,0.197,0.227
0.05,0.481,0.593,0.198,0.04,0.132,0.177
0.02,0.529,0.593,0.121,0.152,0.079,0.126
0.045,0.519,0.632,0.105,0.066,0.118,0.051
0.075,0.587,0.593,0.083,0.126,0.039,0.152
0.155,0.704,0.642,0.077,0.116,0.105,0.101
0.135,0.619,0.514,0.066,0.03,0.158,0.126
0.13,0.497,0.306,0.066,0,0.066,0.202
0.115,0.418,0.158,0.033,0,0.066,0.227
0.115,0.402,0.069,0.138,0,0.066,0.278
0.085,0.36,0.119,0.204,0,0.158,0.328
0.11,0.296,0.089,0.275,0.02,0.092,0.202
0.02,0.365,0.099,0.242,0.02,0.118,0.227
0.04,0.423,0.188,0.215,0.005,0.158,0.303
0.13,0.222,0.119,0.27,0,0.145,0.227
0.201,0.116,0.109,0.165,0,0.105,0.202
0.085,0.116,0.099,0.116,0,0.105,0.126
0.05,0.132,0.079,0.116,0.015,0.079,0.025
0.1,0.143,0.138,0.044,0.025,0.039,0.025
0.13,0.206,0.158,0.055,0.02,0.053,0.101
0.13,0.19,0.089,0.072,0.005,0.053,0.101
0.16,0.243,0.059,0.077,0,0.053,0.076
0.17,0.286,0.059,0.066,0,0.105,0.126
0.145,0.143,0.059,0.116,0,0.092,0.076
0.155,0.122,0.02,0.033,0,0.079,0.177
0.095,0.095,0.01,0.072,0.005,0.079,0.076
0.09,0.111,0.02,0.061,0.02,0,0
0.08,0.037,0.02,0,0.061,0,0
0.095,0.079,0.03,0,0.101,0.013,0.025
0.145,0.169,0,0.006,0.131,0.079,0.101
0.261,0.222,0.04,0.077,0.157,0.105,0.126
0.19,0.138,0.178,0.05,0.142,0.211,0.126
0.201,0.116,0.217,0.022,0.101,0.105,0.177
0.14,0.175,0.247,0.022,0.076,0.118,0.177
0.11,0.19,0.158,0.072,0.116,0.211,0.126
0.04,0.101,0.079,0.138,0.111,0.132,0.076
0.055,0.074,0.03,0.105,0.096,0.066,0.076
0.095,0.063,0.049,0.088,0.096,0.066,0.051
0.201,0.063,0.119,0.05,0.03,0.066,0.051
0.17,0.053,0.099,0.039,0.01,0.066,0.025
0.211,0.026,0.03,0.033,0.02,0.066,0.051
0.17,0.011,0.02,0,0.015,0.026,0
0.09,0,0.02,0,0.046,0,0
0.05,0,0.03,0,0.051,0.013,0
0.005,0,0.04,0,0.04,0.066,0
0,0,0.04,0,0.04,0.066,0.025
0,0,0.168,0.039,0.076,0.026,0
0.005,0,0.178,0.011,0.116,0.026,0
